Date,SPY,VEA,VWO,IWM,QQQ,EWJ,MTUM,QUAL,VLUE,USMV,XLK,XLF,XLE,XLV,XLU,XLP,AGG,TLT,IEF,LQD,HYG,TIP,EMB,GLD,SLV,DBC,VNQ
2013-08-31,-0.02999259204677196,-0.016021774465559857,-0.0343058982579707,-0.03164159873304406,-0.003959020286497417,-0.031194110940608644,-0.03563546795943373,-0.020750566880545662,-0.030386453266521563,-0.032573342839956165,-0.010400206504307175,-0.051244659928767144,-0.010313336494133796,-0.035280261975020544,-0.04992343002803645,-0.04542150296462877,-0.008263817183165711,-0.013404603100427015,-0.014226203241838431,-0.00998362799329433,-0.012720531124316925,-0.018262517377156118,-0.02430942122732238,0.052047484216675155,0.18077330732270425,0.028152584776933498,-0.06980067572554671
2013-09-30,0.03164701417966609,0.07850532465153282,0.07274996864579819,0.06489094984982446,0.04832148438223838,0.09659598845989548,0.0301287418236873,0.03807915131503692,0.027415582436117747,0.025372688446336777,0.025321324042686166,0.02821607268594062,0.021142814275801225,0.03207404993026297,0.011473443963148755,0.013710416605468012,0.01120668147008641,0.006518447010244177,0.018462362230499352,0.007419362111861005,0.00781364031696996,0.01756263044576034,0.031513901144752055,-0.047838379698351585,-0.07522127142676172,-0.03375831569084775,0.034818275960161627
2013-10-31,0.046306480544247464,0.03208676926198595,0.04335877243468267,0.024200223850681324,0.049568701624826295,-0.0008389818170052576,0.05567873169809534,0.0486412560595777,0.0472761686380514,0.04724668995957737,0.05024967007423675,0.033149343021537936,0.0419729844552148,0.04309143988501418,0.03773102138240314,0.06407023734455697,0.008326349677010736,0.01430444626229832,0.007777862670622193,0.01808184273215452,0.025182611905757657,0.0034385372912344447,0.025350612557461405,-0.003432632525768975,0.009569414669373,-0.00038806494057908036,0.045207024232227555
2013-11-30,0.029637347206922016,0.006609304406112404,-0.009313984645616724,0.03956417601488327,0.03551175813333107,0.01259499090390448,0.031469858967984043,0.04112693073314255,0.032974939491109634,0.013218344019871875,0.030906269903745676,0.04423876599842891,0.0005789855189461957,0.047185972941022,-0.019340421945420294,0.01558446399097213,-0.0025068779312614753,-0.027033190832979392,-0.008763164949769364,-0.0013936746053831994,0.004731830681610649,-0.010566924779271236,-0.02022371312288418,-0.05511195422936577,-0.08815168610068069,-0.009320503557065929,-0.05250950486833161
2013-12-31,0.025926942373673656,0.018981994149754877,-0.0028459010017731767,0.020211782246861265,0.02927103092991823,0.014242116479820766,0.02677552961293328,0.022871906708101575,0.02164898949895533,0.012730537268584863,0.03534678031584915,0.022476588380689666,0.028716622693598204,0.0073891294346175584,0.009110453658283113,0.006899247312711632,-0.00556740780818632,-0.018696876776880922,-0.020906058314111853,0.0021486185248011935,0.004066752770284898,-0.014527002683111467,0.0028635229630487036,-0.03794527189279151,-0.02754681356291444,0.005880054077960883,0.0010186718677187567
2014-01-31,-0.035248450884959426,-0.05206320600167791,-0.08434600015330063,-0.02773946874535882,-0.01921325912249383,-0.06672170523800491,-0.02315517370834741,-0.04193248629325308,-0.035606642311616254,-0.03042323455733076,-0.025741125967023493,-0.036596526229379145,-0.05795956854280215,0.009379380762033707,0.02976055509804243,-0.051652222640581336,0.01540956950374106,0.06302846933204198,0.030632763911684346,0.01882792854908799,0.0039834726777394636,0.021019269208456315,-0.008136483388614946,0.034188714238774454,-0.013896223102916938,-0.03039757718285263,0.04275105688591507
2014-02-28,0.045515497942917094,0.059478347128332,0.03238638351895018,0.04778863096242736,0.05152450928748187,0.02471307489143615,0.06718997201747068,0.04893835590767437,0.03970781093819742,0.04387022546557051,0.04394007300840741,0.030389072303711684,0.05121167976621854,0.062187001316111656,0.03452660159232224,0.03900872244685338,0.003763500725948443,0.005240544608992037,0.0035744303811600098,0.011449669883619285,0.023084919958321404,0.004367027455749906,0.034447952734725895,0.0627030280482701,0.10298100487598916,0.05024125125848644,0.05065344119526838
2014-03-31,0.008295561378028227,-0.0035343053041372308,0.046273405361824116,-0.007484658720882553,-0.027335910576897327,-0.024117067984181118,-0.034187917561640524,-0.004687979381723051,0.019032172977595074,0.008469542832382215,0.0043022369644165614,0.03330843061241673,0.021083422734349933,-0.012578074534278283,0.03350971971851591,0.02192987591165596,-0.001480382061109231,0.007322038489374627,-0.00561015702467893,-0.0002906640268502958,-0.0008149929067147177,-0.0053244273717740764,0.011906196834103655,-0.031421423365686874,-0.06437343692313835,-0.0003826562769271291,0.004969083334890101
2014-04-30,0.006951785446045022,0.015749955165313523,0.008871252716117217,-0.03747620766328663,-0.0031940823652820693,-0.022064973963983214,-0.009943996562597812,0.007456069019462053,0.008092399884180423,0.013314565474092044,0.0027511868242755533,-0.017009552534205774,0.05254902067044487,-0.006325842935465231,0.042209113182898994,0.02740416312684668,0.008215679917047414,0.020951758571735812,0.007582694973772286,0.013292827817480868,0.004204540347603203,0.013202876756334136,0.010585810763972026,0.0049348807324614,-0.030462279578027163,0.011102489219852796,0.03285215565627042
2014-05-31,0.023206378292748964,0.01765273225734254,0.03102115312400988,0.007858372164298855,0.04485661020435883,0.04512607591219764,0.04067641964298585,0.02326005794895547,0.015399874134675917,0.011497841741352932,0.03758502642359862,0.015026877553976137,0.01674810636923607,0.02873371834184102,-0.0108771954953647,0.018082938519622394,0.01179122067263183,0.02949518746712454,0.018254033876390574,0.01514399867133065,0.012064143401296246,0.02001423076352782,0.034673757110279535,-0.03051039187154414,-0.020585004312715927,-0.014388484292141346,0.023992231313928913
